sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"15/03/2024","8400/000 : FNB","74247284073820125340910","Account Payment","180.00 AGENCYANALYT 4910505225 13 MAR 74247284073820125340910","3448.03",,"225771.7"
,"15/03/2024","8400/000 : FNB","74987504073000909640059","Account Payment","690.00 FACEBK 46U9X 4910505191 13 MAR 74987504073000909640059","690",,"226461.7"
,"16/03/2024","8400/000 : FNB","24000774074000012937117","Account Payment","14.00 GITHUB INC. 4910505225 14 MAR 24000774074000012937117","268.08",,"226729.78"
,"16/03/2024","8400/000 : FNB","24011344075000036948684","Account Payment","23.00 FIGMA MONTHLY 4910505191 15 MAR 24011344075000036948684","441.08",,"227170.86"
,"16/03/2024","8400/000 : FNB","24049454075000001847146","Account Payment","456.00 ANIMA APP I 4910505191 15 MAR 24049454075000001847146","8744.77",,"235915.63"
,"16/03/2024","8400/000 : FNB","24049454075000001781659","Account Payment","456.00 ANIMA APP I 4910505191 15 MAR 24049454075000001781659","8744.77",,"244660.4"
,"16/03/2024","8400/000 : FNB","24011344074000085648251","Account Payment","280.00 WIZA.CO 4910505191 14 MAR 24011344074000085648251","5361.51",,"250021.91"
,"18/03/2024","8400/000 : FNB","74609054075000009646370","Account Payment","3085.00 FRAMER.COM 4910505191 15 MAR 74609054075000009646370","3085",,"253106.91"
,"18/03/2024","8400/000 : FNB","24011344075000058564559","Account Payment","67.85 FIGMA 4910505191 15 MAR 24011344075000058564559","1301.16",,"254408.07"
,"18/03/2024","8400/000 : FNB","74143614076000064800725","Account Payment","345.00 FACEBK T6HS 4910505191 15 MAR 74143614076000064800725","345",,"254753.07"
,"19/03/2024","8400/000 : FNB","74796314077000500007071","Account Payment","26415.96 MSFT E07 4910505225 17 MAR 74796314077000500007071","26415.96",,"281169.03"
,"19/03/2024","8400/000 : FNB","74601004077410313623034","Account Payment","5439.50 MSFT E070 4910505225 17 MAR 74601004077410313623034","5439.5",,"286608.53"
,"19/03/2024","8400/000 : FNB","24011344076000073368803","Account Payment","279.00 TRIPLE WHALE 4910505191 16 MAR 24011344076000073368803","5352.29",,"291960.82"
,"19/03/2024","8400/000 : FNB","74875304077000707584059","Account Payment","178.68 PipedriveUK 4910505191 17 MAR 74875304077000707584059","4365.1",,"296325.92"
,"19/03/2024","8400/000 : FNB","74143614078001022389353","Account Payment","74.75 SHOPIFY 2217 4910505225 16 MAR 74143614078001022389353","1433.99",,"297759.91"
,"19/03/2024","8400/000 : FNB","24011344077000030159336","Account Payment","1150.00 SQUARESPACE 4910505191 17 MAR 24011344077000030159336","1150",,"298909.91"
,"19/03/2024","8400/000 : FNB","24011344078000026247334","Account Payment","9.00 EMMA AI 4910505191 18 MAR 24011344078000026247334","172.66",,"299082.57"
,"20/03/2024","8400/000 : FNB","74609054079000000384050","Account Payment","292.07 SLACK T0MN3D 4910505225 18 MAR 74609054079000000384050","5603.02",,"304685.59"
,"20/03/2024","8400/000 : FNB","24000774079000004218984","Account Payment","100.00 NAMEBIO 4910505191 19 MAR 24000774079000004218984","1938.86",,"306624.45"
,"20/03/2024","8400/000 : FNB","24692164078101485291595","Account Payment","100.00 INTUIT QBoo 4910505191 18 MAR 24692164078101485291595","1918.39",,"308542.84"
,"20/03/2024","8400/000 : FNB","74208474079000006939431","Account Payment","46.80 ENDOLE.CO.UK 4910505191 19 MAR 74208474079000006939431","1154.94",,"309697.78"
,"22/03/2024","8400/000 : FNB","74838424079102248578945","Account Payment","546.25 INTUIT QBoo 4910505225 19 MAR 74838424079102248578945","546.25",,"310244.03"
,"22/03/2024","8400/000 : FNB","74609054079000008092390","Account Payment","15.27 SLACK T4ENT13 4910505225 19 MAR 74609054079000008092390","296.07",,"310540.1"
,"22/03/2024","8400/000 : FNB","74143614081000061810308","Account Payment","345.00 FACEBK KYPB 4910505191 20 MAR 74143614081000061810308","345",,"310885.1"
,"22/03/2024","8400/000 : FNB","74838424079102250113169","Account Payment","546.25 INTUIT QBoo 4910505225 19 MAR 74838424079102250113169","546.25",,"311431.35"
